ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;nest_availability_difference;resource_facet_manipulated;pred;response_variable;r;N
E.S. 01;4;Borgia 1980;1980;Scatophaga stercoraria;Scatophaga_stercoraria;Insecta;Diptera;1_artro;polygamy;no_care;pats of cow;exp_field;yes;quant;dir;attacked male leaves/Attacks (number of males that leaves after attack);-0.548579973;758
E.S. 02;4;Borgia 1980;1980;Scatophaga stercoraria;Scatophaga_stercoraria;Insecta;Diptera;1_artro;polygamy;no_care;pats of cow;exp_field;yes;quant;dir;attack duration (sec);0.99;154
E.S. 03;4;Borgia 1980;1980;Scatophaga stercoraria;Scatophaga_stercoraria;Insecta;Diptera;1_artro;polygamy;no_care;pats of cow;exp_field;yes;quant;dir;attacks/Encounters (number of attacks controled by the number of male encounters);-0.469207312;1194
E.S. 04;11;Debuse et al 2003;2003;Homarus gammarus;Homarus_gammarus;Malacostraca;Decapoda;1_artro;polygamy;maternal ;rock crevices;exp_lab;yes;quant;dir;frequency of attack (log);0.169;30
E.S. 05;11;Debuse et al 2003;2003;Homarus gammarus;Homarus_gammarus;Malacostraca;Decapoda;1_artro;polygamy;maternal ;rock crevices;exp_lab;yes;quant;dir;mean duration of attack (min);-0.359;30
E.S. 06;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;ind;nest occupancy;0.279;84
E.S. 07;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;dir;mean number of fights in occupied nests ;0.16;84
E.S. 08;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;dir;mean number of takeovers in occupied nests;0.029;84
E.S. 09;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;yes;quant;ind;frequency of nest colonizated;0.525923706;60
E.S. 10;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;yes;quant;ind;frequency of nest used (with eggs);0.55571893;47
E.S. 11;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;yes;quant;ind;frequency of nest colonizated (pool experiment);0.379840239;192
