ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;male_engagement;exploited_resource;study_type;nest_availability_difference;resource_facet_manipulated;PRED;pred;response_variable;I_type;lnCRV;N
E.S. 01;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2 - I calculation;mating success;mean haren size;SP;0.790968572;37
E.S. 02;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2 - I calculation;mating success;mean haren size;SP;1.444218392;43
E.S. 03;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2 - I calculation;mating success;mean haren size;SP;0.872798882;27
E.S. 04;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2;sexual selection index;I mates;SP;-1.570728347;99
E.S. 05;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2;sexual selection index;I mates;SP;-0.592787548;85
E.S. 06;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2;sexual selection index;I mates;SP;-0.298177796;70
E.S. 07;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;no;tree hollows or artificial galleries;exp_field;NA;qualit;P2;sexual selection index;I mates;SP;6.150852639;72
E.S. 08;46;Werneck and Machado unpublished;unpub;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;yes;natural cavities in roadside banks ;exp_lab;yes;quant;P2 - I calculation;sexual selection index;opportunity for sexual selection (based in eggs);SP;0.13300881;168
E.S. 09;29;McLain 1986;1986;Neacoryphus bicrucis;Neacoryphus_bicrucis;Insecta;Hemiptera;1_artro;polygamy;no_care;no;plant substrate;obs;yes;qualit;P2 - I calculation;mating success;mean number of copulations;SP;1.149112916;100
E.S. 10;29;McLain 1986;1986;Neacoryphus bicrucis;Neacoryphus_bicrucis;Insecta;Hemiptera;1_artro;polygamy;no_care;no;plant substrate;obs;yes;qualit;P2;sexual selection index;Is (intensity of sexual selection);SP;1.175998952;100
E.S. 11;29;McLain 1986;1986;Neacoryphus bicrucis;Neacoryphus_bicrucis;Insecta;Hemiptera;1_artro;polygamy;no_care;no;plant substrate;obs;yes;qualit;P2;sexual selection index;I (opportunity for selection);SP;0.837396789;100
E.S. 12;33;Muniz and Machado 2015;2015;Serracutisoma proximum;Serracutisoma_proximum;Arachnida;Opiliones;1_artro;polygamy;maternal;no;plant substrate;exp_field;yes ;quant;P2;sexual selection index;intensity of sexual selection (I mates) calculated in early-season;SP;-0.869895711;87
E.S. 13;33;Muniz and Machado 2015;2015;Serracutisoma proximum;Serracutisoma_proximum;Arachnida;Opiliones;1_artro;polygamy;maternal;no;plant substrate;exp_field;yes ;quant;P2;sexual selection index;intensity of sexual selection (I mates) calculated in mid-season;SP;0.792617902;60
E.S. 14;33;Muniz and Machado 2015;2015;Serracutisoma proximum;Serracutisoma_proximum;Arachnida;Opiliones;1_artro;polygamy;maternal;no;plant substrate;exp_field;yes ;quant;P2;sexual selection index;intensity of sexual selection (I mates) calculated in late-season;SP;-0.196114879;67
E.S. 15;25;Lehtonen and Lindstrom 2008;2008;Archocentrus nigrofasciatus;Archocentrus_nigrofasciatus;Actinopterygii;Perciformes;2_pisc;monogamy;biparental;yes;cave, shelter, flowerpot;exp_field;yes;quant;P2 - I calculation;reproductive success;mean number of eggs in the nest;SP;1.492787604;50
E.S. 16;31;Mousseau and Collins 1987;1987;Cottus cognatus;Cottus_cognatus;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;yes;under rocks;obs;yes;quant;P2 - I calculation;reproductive success;mean number of egg clutch (=female) per male/nest;SP;0.291526525;153
E.S. 17;35;Natsumeda 2013;2013;Cottus pollux;Cottus_pollux;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;yes;rock crevices;obs;yes;quant;P2 - I calculation;reproductive success;number of eggs that males obtained ;SP;-1.903206812;32
E.S. 18;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;bivalve shells;exp_field;yes;quant;P2 - I calculation;reproductive success;male success (egg area in cm2);SP;1.261504318;28
E.S. 19;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;bivalve shells;exp_field;yes;quant;P2 - I calculation;reproductive success;male success (egg area in cm2);SP;0.261273236;20
E.S. 20;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;shell, rock crevices, flowerpot;exp_lab;yes;quant;P2;sexual selection index;opportunity of selection total (Itotal);CP;0.085400933;72
E.S. 21;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;shell, rock crevices, flowerpot;exp_lab;yes;quant;P2;sexual selection index;opportunity of selection total (Itotal);CP;-0.341194952;128
E.S. 22;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;shell, rock crevices, flowerpot;exp_lab;yes;quant;P2;sexual selection index;opportunity of selection based on mate acquisition (Imates);SP;-0.46974426;72
E.S. 23;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;shell, rock crevices, flowerpot;exp_lab;yes;quant;P2;sexual selection index;opportunity of selection based on mate acquisition (Imates);SP;-1.408165351;128
E.S. 24;24;Lehtonen and Lindstrom 2004;2004;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;rock crevices;obs;yes;quant;P2 - I calculation;reproductive success;mean egg surface area (cm2);SP;0.601145955;66
E.S. 25;42;Singer et al 2006;2006;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;mussels shells;exp_field;yes;quant;P2;sexual selection index;opportunity for selection;SP;-0.226741972;76
E.S. 26;42;Singer et al 2006;2006;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;yes;mussels shells;exp_field;yes;quant;P2;sexual selection index;opportunity for selection;SP;0.374326455;60
E.S. 27;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;yes;excaveted areas under rocks;obs;no;quant;P2;sexual selection index;opportunity for selection (I egg, all mated males);SP;-0.691214813;447
E.S. 28;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;yes;excaveted areas under rocks;obs;no;quant;P2;sexual selection index;opportunity for selection (I pat, based in reproductive success);CP;-0.426818233;68
E.S. 29;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;yes;excaveted areas under rocks;obs;no;quant;P2;sexual selection index;opportunity for sexual selection  (Is - accountin for the site reproductive success);CP;-0.220240792;68
E.S. 30;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;yes;excaveted areas under rocks;obs;no;quant;P2 - I calculation;reproductive success;mean egg number per nest;SP;-0.318946966;55
E.S. 31;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;yes;rock crevices;obs;yes;quant;P2 - I calculation;reproductive success;mean number of embrios per site;SP;0.054184093;128
