ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;resource_facet_manipulated;pred;axb;response_variable;r;N
E.S. 01;5;Borgia 1982;1982;Scatophaga stercoraria;Scatophaga_stercoraria;Insecta;Diptera;1_artro;polygamy;no_care;pats of cow;exp_field;quant;mean male size;b;mean size of amplexed males (mm);0.477;78
E.S. 02;5;Borgia 1982;1982;Scatophaga stercoraria;Scatophaga_stercoraria;Insecta;Diptera;1_artro;polygamy;no_care;pats of cow;exp_field;quant;mean male size;b;mean size of amplexed males (mm);0.378;162
E.S. 03;11;Debuse et al 2003;2003;Homarus gammarus;Homarus_gammarus;Malacostraca;Decapoda;1_artro;polygamy;maternal;rock crevices;exp_lab;quant;mean male size;b;nest-owner mean carapace lenght (mm);0.156;99
E.S. 04;11;Debuse et al 2003;2003;Homarus gammarus;Homarus_gammarus;Malacostraca;Decapoda;1_artro;polygamy;maternal;rock crevices;exp_lab;quant;mean male size;a;nest-owner mean claw volume (mm3);0.185;85
E.S. 05;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head length (mm) of successful males;-0.003;99
E.S. 06;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head length (mm) of successful males;0.02;85
E.S. 07;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head length (mm) of successful males;0.011;70
E.S. 08;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head length (mm) of successful males;0.007;72
E.S. 09;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head width (mm) of successful males;0.005;99
E.S. 10;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head width (mm) of successful males;0.028;85
