ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;nest_availability_difference;resource_facet_manipulated;PRED;pred;effect_over;response_variable;r;N
E. S. 01;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;P6;parental effort;parental;male foranging time (outside the nest);-0.183;68
E. S. 02;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;P6;parental effort;parental;filial canibalism;-0.006080404;37
E. S. 03;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;yes;quant;P6;parental effort;parental;mean number of cannibalized eggs;0;23
E. S. 04;25;Lehtonen and Lindstrom 2008;2008;Archocentrus nigrofasciatus;Archocentrus_nigrofasciatus;Actinopterygii;Perciformes;2_pisc;monogamy;biparental;cave, shelter, flowerpot;exp_field;yes;quant;P7;offspring survival;offspring;brood survival (days);-0.158;51
E. S. 05;25;Lehtonen and Lindstrom 2008;2008;Archocentrus nigrofasciatus;Archocentrus_nigrofasciatus;Actinopterygii;Perciformes;2_pisc;monogamy;biparental;cave, shelter, flowerpot;exp_field;yes;quant;P6;parental effort;parental;attack rate towards potential offspring predators (attacks per mim);0.086;46
E. S. 06;26;Lindstrom 2001;2001;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices, flowerpot;exp_lab;yes;quant;P7;parental life spam;parental;mean male life spam (days);0.529;48
E. S. 07;26;Lindstrom 2001;2001;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices, flowerpot;exp_lab;yes;quant;P7;parental life spam;parental;mean male life spam (days);0.958;48
E. S. 08;34;Natsumeda et al 2012;2012;Cottus pollux;Cottus_pollux;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;rock crevices;exp_lab;yes;quant;P6;parental effort;parental;nest stay (% of total time);-0.034;60
E. S. 09;40;Saraiva et al 2009;2009;Salaria pavo;Salaria_pavo;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices;exp_lab;NA;dispo;P7;parental effort;parental;mean proportion of time that males stay inside the nest (%);0.713;14
E. S. 10;41;Saraiva et al 2012;2012;Salaria pavo;Salaria_pavo;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices;obs;yes;quant;P7;parental effort;parental;mean number of times that nest holder left the nest (exits/20min);0.822;67
E. S. 11;45;Townshend and Wootton 1985;1985;Cichlasoma panamense;Cichlasoma_panamense;Actinopterygii;Perciformes;2_pisc;monogamy;biparental;small holes or burrow;obs;no;quant;P6;parental effort;parental;frequency of chase intruders per 15 min ;0.741;42
E. S. 12;47;Downhower & Brown 1980;1980;Cottus bairdi;Cottus_bairdi;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;cavities under rocks;exp_field;yes;qualit;P7;offspring survival;offspring;proportion of egg masses hatching;-0.105781192;263
E. S. 13;52;Oliveira et al 2000;2000;Parablennius sanguinolentus;Parablennius_sanguinolentus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;natural crevices;obs;yes;qualit;P6;parental effort;parental;egg fanning;-0.264726529;24
E. S. 14;52;Oliveira et al 2000;2000;Parablennius sanguinolentus;Parablennius_sanguinolentus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;natural crevices;obs;yes;qualit;P6;parental effort;parental;nest cleanning;-0.243455672;24
E. S. 15;15;Garcia-Navas et al 2014;2014;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;monogamy;biparental;tree hollows and nest box;exp_field;yes;quant;P7;offspring survival;offspring;hatchling survival (%);0.631;6
E. S. 16;15;Garcia-Navas et al 2014;2014;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;monogamy;biparental;tree hollows and nest box;exp_field;yes;quant;P7;offspring survival;offspring;nestling survival (%);0.539;6
E. S. 17;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;yes;quant;P7;offspring survival;offspring;mean hatchling number;-0.088;55
E. S. 18;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;yes;quant;P7;offspring survival;offspring;mean fledgling number;-0.147;55
E. S. 19;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;yes;quant;P6;parental effort;parental;mean numberof feeds per day by male;-0.131;30
